CEWID,ParticipantName,DBA,ParticipantRole,ParticipantStatus,EffectiveDate,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZipcode,PhysicalCounty,MailingAddress,MailingCity,MailingState,MailingZipcode,PhoneNumber,PrimaryContact,PrimaryContactEmail
116653,"Pacific Auto Recycling Center, Inc.",,Collector,Active,2/16/2017,225 W Avenue H ,Lancaster,CA,93534,Los Angeles,225 W Avenue H ,Lancaster,CA,93534,(661) 949-0048,Jahaziel Soto,qc@weareparc.com
127935,Sancroft Community Housing Inc,,Collector,Active,6/27/2025,200 W Pondera St ,Lancaster,CA,93534,Los Angeles,200 W Pondera St ,Lancaster,CA,93534,(661) 443-9361,Kerry Warren,nonprofit-info@sancroftcommunity.com
102994,"Waste Management of California, Inc. (Lancaster)",,Collector,Active,7/29/2005,600 E Ave F ,Lancaster,CA,93535,Los Angeles,600 E Ave F ,Lancaster,CA,93535,(661) 726-3468,Tracy Freeman,tfreema7@wm.com
127555,"FCC Environmental Services California, LLC",,Collector,Active,7/29/2022,3195 Athens Ave ,Lincoln,CA,95648,Placer,3033 Fiddyment Rd ,Roseville,CA,95747,(916) 234-5307,Sheena Hilliard,sheena.hilliard@fccenvironmental.com
112289,"Livermore Sanitation, Inc.",,Collector,Active,2/18/2011,7000 National Dr ,Livermore,CA,94550,Alameda,7000 National Dr ,Livermore,CA,94550,(925) 449-7300,Humberto  Hernandez,Humberto.Hernandez@wasteconnections.com
101468,City of Lompoc,,Collector,Active,1/24/2005,700 Avalon St ,Lompoc,CA,93436,Santa Barbara,100 Civic Center Plz ,Lompoc,CA,93436,(805) 875-8024,Steve Clark,s_clark@ci.lompoc.ca.us
105406,Conservation Corps of Long Beach,,Collector,Active,3/4/2016,340 Nieto Ave ,Long Beach,CA,90814,Los Angeles,340 Nieto Ave ,Long Beach,CA,90814,(562) 986-1249,Irene Lopez-Muro,ilopezmuro@cclb-corps.org
103016,"Corridor Recycling, Inc.",,Collector,Active,7/6/2005,22500 S Alameda St ,Long Beach,CA,90810,Los Angeles,22500 S Alameda St ,Long Beach,CA,90810,(310) 835-9109,Gilbert Dodson,gdodson@corridorrecycling.com
100547,"Goodwill, Serving the People of Southern Los Angeles County",,Collector,Active,1/5/2005,800 W Pacific Coast Hwy ,Long Beach,CA,90806-5243,Los Angeles,800 W Pacific Coast Hwy ,Long Beach,CA,90806-5243,(562) 435-3411,Colleen Khuon,ckhuon@goodwillsolac.org
103621,Republic Services (Long Beach),"(a DBA of Consolidated Disposal Service, L.L.C.)",Collector,Active,5/16/2025,2531 E 67th St ,Long Beach,CA,90805,Los Angeles,2531 E 67th St ,Long Beach,CA,90805,(800) 299-4898,Aaron Schoonover,aschoonover@republicservices.com
109651,Salvation Army Adult Rehabilitation Center (Long Beach),,Collector,Active,7/20/2012,1370 Alamitos Ave ,Long Beach,CA,90813,Los Angeles,1370 Alamitos Ave ,Long Beach,CA,90813,(800) 728-7825,Fernando Mosqueda,fernando.mosqueda@usw.salvationarmy.org
116564,Secure E-Waste Destruction,"(a DBA of Mate Enterprises, Inc.)",Collector/Recycler,Active,7/15/2016,1438 West 15th Street ,Long Beach,CA,90813,Los Angeles,1438 West 15th Street ,Long Beach,CA,90813,(626) 600-2705,Zsolt Mate,1MateEnterprises@Gmail.com
127846,EZ eWaste Recycling,(a DBA of HZMA-G Enterprise Corporation),Collector,Active,6/21/2024,3709 Medford St #301,Los Angeles,CA,90063,Los Angeles,3709 Medford St #301,Los Angeles,CA,90063,(310) 697-9914,Arman Galstyan,support@ezewasterecycle.com
100571,Goodwill Industries of Southern California,,Collector,Active,1/1/2005,3150 N San Fernando Rd ,Los Angeles,CA,90065,Los Angeles,342 N San Fernando Rd ,Los Angeles,CA,90031,(323) 539-2196,Steve Barr,sbarr@goodwillsocal.org
127531,Greenly Electronics Recycling,(a DBA of Bridge the Digital Divide),Collector,Active,5/20/2022,2420 W 3rd St ,Los Angeles,CA,90057,Los Angeles,3183 Wilshire Blvd Ste 196Y,Los Angeles,CA,90010,(213) 600-1000,Allie Rehm,allie@bridgela.org
127528,LA Electronic Solution,,Collector,Active,5/20/2022,741 Stanford Ave ,Los Angeles,CA,90021,Los Angeles,1345 N Kingsley Dr Apt 306,Los Angeles,CA,90027,(323) 970-7120,Arevik Adamyan,rapidewaste@gmail.com
104644,Los Angeles Conservation Corps,,Collector,Active,12/18/2014,1400 N Spring St ,Los Angeles,CA,90012,Los Angeles,P.O. Box 861658 ,Los Angeles,CA,90086,(213) 362-9000,Wendy Butts,wbutts@lacorps.org
127629,Marble luxe clean up,(a DBA of Shanda Shepherd),Collector,Active,3/30/2023,1880 Alsace Ave ,Los Angeles,CA,90019,Los Angeles,5948 2nd Ave ,Los Angeles,CA,90043,(310) 623-2064,Shanda Shepherd,marbleluexcleanup@gmail.com
113202,Pick & Earn Recycling,(a DBA of Gideon Chukwudike Okorie),Collector,Active,10/21/2019,9467 S Normandie Ave ,Los Angeles,CA,90044,Los Angeles,9467 S Normandie Ave ,Los Angeles,CA,90044,(323) 674-5451,Gideon Chukwudike Okorie,gideonokor@yahoo.com
127427,The Real Ewaste Guys,(a DBA of Bestrain Johnson),Collector,Active,8/25/2021,2615 W Vernon Ave ,Los Angeles,CA,90008,Los Angeles,2611 1/2 W Vernon Ave ,Los Angeles,CA,90008,(323) 380-4964,Bestrain Johnson,pravon@yahoo.com
105587,Sierra County Loyalton Transfer Station,,Collector,Active,12/18/2006,1 Garbage Pit Road ,Loyalton,CA,96118,Sierra,Sierra County DPW P.O. Box 98,Downieville,CA,95936,(530) 289-3201,Billy Epps,bepps@sierracounty.ca.gov
100707,Mariposa County Solid Waste and Recycling,,Collector,Active,1/1/2005,5593 State Highway 49 N ,Mariposa,CA,95338,Mariposa,4639 Ben Hur Rd ,Mariposa,CA,95338,(209) 966-5165,Demetrice Crump,dcrump@mariposacounty.org
111621,AT&JM Hauling Inc.,,Collector,Active,4/18/2024,5500 Imhoff Dr ,Martinez,CA,94553,Contra Costa,21C Orinda Way #181,Orinda,CA,94563,(888) 907-4285,Andreas Triplis,andreas@ajhauling.com
103073,Recology Yuba-Sutter,,Collector,Active,8/17/2005,3001 N Levee Rd ,Marysville,CA,95901,Yuba,3001 N Levee Rd ,Marysville,CA,95901,(530) 743-6933,Kayli Bolek,kbolek@recology.com
100194,"CEAR, LLC",,Collector/Recycler,Active,10/31/2012,3678 Lemay St ,Mather,CA,95655,Sacramento,3678 Lemay St ,Mather,CA,95655,(916) 388-1777,Jane Bei,jybei@cearinc.com
108375,Humboldt Sanitation Co.,,Collector,Active,4/23/2008,2585 Central Ave ,McKinleyville,CA,95519-3617,Humboldt,P.O. Box 2812 ,McKinleyville,CA,95519,(707) 839-3285,Tasha Eisner,teisner@humboldtsanitation.com
109503,Green EWaste Recycling Center,"(a DBA of Electronics Recycling Service, Inc.)",Collector,Active,3/29/2018,1664 Watson Ct ,Milpitas,CA,95035,Santa Clara,1664 Watson Ct ,Milpitas,CA,95035,(408) 898-8640,Amy Lin Wang,amyl@gerecycle.com
127062,"AERC Recycling Solutions, a Clean Earth Company",(a DBA of AERC Acquisition Corporation),Collector,Active,12/14/2018,1733 Morgan Rd Ste 250,Modesto,CA,95358,Stanislaus,1733 Morgan Rd Ste 250,Modesto,CA,95358,(510) 429-1129,Chendy Chea,cchea@cleanearthinc.com
100491,"Gilton Resource Recovery / Transfer Facility, Inc.",,Collector,Active,1/1/2005,800 South McClure Road ,Modesto,CA,95357,Stanislaus,755 S Yosemite Ave ,Oakdale,CA,95361-4039,(209) 527-3781,Hilario Vieyra,hilariov@gilton.com
106282,K & K Electronics,(a DBA of Kenny Blacksmith),Collector,Active,3/30/2007,623 Bitritto Ct Suite D,Modesto,CA,95356,Stanislaus,3266 Botfuher Rd ,Valley Springs,CA,95252,(209) 551-0500,Kenny Blacksmith,kenblacksmith@live.com
105623,S & D Recycling,(a DBA of Son Minh Ta),Collector,Active,4/5/2007,1149 Kansas Ave ,Modesto,CA,95351,Stanislaus,1149 Kansas Ave ,Modesto,CA,95351,(209) 572-0942,Vy Thao Nguyen,vy.dunn@gmail.com
103791,Stanislaus County Department of Environmental Resources,,Collector,Active,12/2/2005,1710 Morgan Rd ,Modesto,CA,95358,Stanislaus,3800 Cornucopia Way Suite C,Modesto,CA,95358,(209) 525-6700,Alvin Lal,alal@envres.org
127302,United Recycling,(a DBA of AgriWest),Collector,Active,7/31/2020,1503 Lone Palm Ave ,Modesto,CA,95351,Stanislaus,P.O. Box 188 ,Escalon,CA,95320,(209) 707-5063,Aaron Heinrich,unitedrecycling@icloud.com
106269,"Greenway Solid Waste & Recycling, Inc.",,Collector,Active,5/11/2007,10660 Silicon Ave Unit H,Montclair,CA,91763,San Bernardino,P.O. Box 1453 ,Claremont,CA,91711,(909) 518-7943,Charles J Elias,greenwayrecycling@gmail.com
127796,Reboot Tech LLC,,Collector,Active,4/9/2025,9051 Del Mar Ave ,Montclair,CA,91763,San Bernardino,9051 Del Mar Ave ,Montclair,CA,91763,(626) 608-5354,Penny Lee,penny@reboottechrecycling.com
116133,"NASA Services, Inc.",,Collector,Active,3/26/2015,1100 S Maple Ave ,Montebello,CA,90640,Los Angeles,1100 S Maple Ave ,Montebello,CA,90640,(888) 888-0388,Judi Gregory,judi@nasaservices.com
115077,"Monterey City Disposal Service, Inc.",,Collector,Active,4/18/2013,10 Ryan Ranch Rd ,Monterey,CA,93940,Monterey,P.O. Box 2780 ,Monterey,CA,93942,(831) 372-7977,Mary Ann Fosha,maryann@montereydisposal.com
101628,"Waste Management Collection and Recycling, Inc. (Moreno Valley)",,Collector,Active,1/7/2005,17700 Indian St ,Moreno Valley,CA,92551,Riverside,17700 Indian St ,Moreno Valley,CA,92551,(951) 601-6691,Rafael Rosales,rrosale3@wm.com
116169,Digital Green Global,,Collector,Active,9/23/2016,875 Jarvis Dr ,Morgan Hill,CA,95037,Santa Clara,875 Jarvis Dr ,Morgan Hill,CA,95037,(408) 320-1560,Bruce Serpa,bruce.serpa@dgglobal.net
116867,Leghorn Hauling,(a DBA of Scott Molinari-Schulz),Collector,Active,9/15/2017,1948 Leghorn St ,Mountain View,CA,94043,Santa Clara,1948 Leghorn St ,Mountain View,CA,94043,(650) 716-7531,Scott Molinari-Schulz,ssjbdiscovery@gmail.com
116816,Tempus,(a DBA of FC Management Services),Collector/Recycler,Active,8/8/2017,2001 Anchor Ct Ste B,Newbury Park,CA,91320,Ventura,2001 Anchor Ct Ste B,Newbury Park,CA,91320,(805) 499-0050,Fulton Connor,fulton@4tempus.com
116071,E-WasteUS,"(a DBA of Manukyan Enterprises, Inc.)",Collector,Active,2/3/2015,7341 Fulton Ave Unit 15,North Hollywood,CA,91605,Los Angeles,7341 Fulton Ave Unit 15,North Hollywood,CA,91605,(818) 465-5381,Armen Manukyan,am@ewasteus.com
102128,"California Recycles, Inc.",,Collector,Active,2/24/2005,18351 Eddy St Ste B,Northridge,CA,91325,Los Angeles,18351 Eddy St Ste B,Northridge,CA,91325,(818) 886-0800,Isaac Saghian,isaac@californiarecycles.com
105496,Conservation Corps North Bay,,Collector,Active,7/30/2015,11 Pimentel Ct ,Novato,CA,94949,Marin,11 Pimentel Ct ,Novato,CA,94949,(415) 454-4554,Kyle LaRue,klarue@ccnorthbay.org
113601,"The Salvation Army, Adult Rehabilitation Center (Oakland)",,Collector,Active,5/24/2012,601 Webster St ,Oakland,CA,94607,Alameda,601 Webster St ,Oakland,CA,94607,(510) 451-4514,Blanca Velazquez,blanca.velazquez@usw.salvationarmy.org
127353,"Electronic Circulation Center, Inc.",,Collector,Active,3/30/2023,2660 Vista Pacific Dr ,Oceanside,CA,92056,San Diego,2660 Vista Pacific Dr ,Oceanside,CA,92056,(760) 724-3046,Austen Harke,austen@eccrecycle.com
101127,Waste Management of North County,"(a DBA of Waste Management of California, Inc.)",Collector,Active,1/1/2005,2880 Industry St ,Oceanside,CA,92054,San Diego,2141 Oceanside Blvd ,Oceanside,CA,92054,(760) 439-2824,Ruben Vasquez,rvasque4@wm.com
127582,Cal Micro Recycling,"(a DBA of Full Circle Electronics CA, LLC)",Collector/Recycler,Active,1/13/2023,1541 Brooks St ,Ontario,CA,91762,San Bernardino,1541 Brooks St ,Ontario,CA,91762,(909) 467-4800,Jesson Panopio,jesson@calmicros.com
101082,Waste Management of Orange,"(a DBA of USA Waste of California, Inc.)",Collector,Active,1/1/2005,2050 N Glassell St ,Orange,CA,92865,Orange,2050 N Glassell St ,Orange,CA,92865,(714) 685-6493,Claudia Equihua,cequihua@wm.com
101162,Waste Tire Products,"(a DBA of Tasto, Incorporated)",Collector/Recycler,Active,1/7/2005,3820 Highway 99W ,Orland,CA,95963,Glenn,P.O. Box 4563 ,Orland,CA,95963,(530) 865-4588,George Valentin,vleft20@aol.com
100343,City of Oxnard - Environmental Resources Division,,Collector,Active,1/24/2005,111 S Del Norte Blvd ,Oxnard,CA,93030,Ventura,111 S Del Norte Blvd ,Oxnard,CA,93030,(805) 385-8060,Robert Serrato,roberto.serrato@oxnard.org
101812,Goodwill Industries of Ventura and Santa Barbara Counties,,Collector,Active,7/30/2015,1401 N. Rice Ave ,Oxnard,CA,93030,Ventura,1401 N. Rice Ave ,Oxnard,CA,93030,(805) 981-0130,Miguel Valencia,mvalencia@goodwillvsb.org
113383,Republic Services of Contra Costa County,"(a DBA of Allied Waste Systems, Inc.)",Collector,Active,9/1/2011,441 N Buchanan Cir ,Pacheco,CA,94553,Contra Costa,441 N Buchanan Cir ,Pacheco,CA,94553,(925) 685-4711,Kimberly Lam,klam2@republicservices.com
127579,"Pasadena Tech Recycle, Inc.",,Collector,Active,5/16/2024,10487 San Fernando Rd ,Pacoima,CA,91331,Los Angeles,10487 San Fernando Rd ,Pacoima,CA,91331,(818) 818-2005,Alex Kamran,alex@pasadenatechrecycle.com
104848,"Angel View, Inc.",,Collector,Active,6/14/2006,37023 Cook St ,Palm Desert,CA,92211,Riverside,P.O. Box 580021 ,North Palm Springs,CA,92258-0021,(760) 322-2440,Kirsten Johansen,kjohansen@angelview.org
101743,"Burrtec Waste & Recycling Services, LLC (Palm Desert)",,Collector,Active,2/8/2005,41800 Corporate Way ,Palm Desert,CA,92260,Riverside,41575 Eclectic St ,Palm Desert,CA,92260,(760) 340-2113,"Frank Orlett, Jr.",jrforlett@burrtecdesert.com
100068,"Antelope Valley Recycling and Disposal Facility, Inc.",,Collector,Active,7/29/2005,1200 W City Ranch Rd ,Palmdale,CA,93551,Los Angeles,1200 W City Ranch Rd ,Palmdale,CA,93551,(661) 947-7197,Tracy Freeman,tfreema7@wm.com
100161,Butte County,,Collector,Active,1/1/2005,1023 Neal Rd ,Paradise,CA,95969,Butte,7 County Center Dr ,Oroville,CA,95965,(530) 522-5705,Valerie Meza,vmeza@buttecounty.net
127276,Sunada Recycling,(a DBA of Macsun LLC),Collector,Active,4/21/2020,14126 Orange Ave ,Paramount,CA,90723,Los Angeles,14126 Orange Ave ,Paramount,CA,90723,(310) 627-9285,Yoshifumi Sunada,sunadarecycling@gmail.com
114305,Salvation Army Adult Rehabilitation Center (Pasadena),,Collector,Active,4/5/2013,56 West Del Mar Blvd ,Pasadena,CA,91105,Los Angeles,56 West Del Mar Blvd ,Pasadena,CA,91105,(626) 817-7730,Mark Yoshida,Mark.D.Yoshida@usw.salvationarmy.org
127721,"Universal E-Waste Collectors, LLC",,Collector,Active,9/29/2023,2387 E. Washington Blvd. ,Pasadena,CA,91104,Los Angeles,2387 E. Washington Blvd. ,Pasadena,CA,91104,(818) 319-0777,Ghevont Berberian,leontheprofessional24@gmail.com
127974,North SLO County Recycling and Transfer Station,"(a DBA of USA Waste of California, Inc. (Paso Robles))",Collector,Active,10/17/2025,3360 La Cruz Way ,Paso Robles,CA,93446,San Luis Obispo,3360 La Cruz Way ,Paso Robles,CA,93446,(805) 434-9112,Randy Mills,rmills5@wm.com
111266,CR&R Incorporated,,Collector,Active,1/14/2010,1706 Goetz Rd ,Perris,CA,92570,Riverside,P.O. Box 1208 ,Perris,CA,92572,(800) 755-8112,Nate Woods,natew@crrmail.com
116932,"My Ewaste Dropoff, LLC",,Collector/Recycler,Active,2/5/2018,21398 Harvill Ave ,Perris,CA,92570,Riverside,21398 Harvill Ave ,Perris,CA,92570,(951) 315-2126,Jason Mendez,jason@myewastedropoff.com
114338,Salvation Army Adult Rehabilitation Center (Riverside),,Collector,Active,1/20/2017,24201 Orange Ave ,Perris,CA,92570,Riverside,P.O. Box 1825 ,Perris,CA,92570,(951) 940-5790,Douglas Raulston,douglas.raulston@usw.salvationarmy.org
127819,El Dorado Disposal,"(a DBA of Waste Connections of California, Inc.)",Collector,Active,4/26/2024,4100 Throwita Way ,Placerville,CA,95667,El Dorado,4100 Throwita Way ,Placerville,CA,95667,(530) 626-4141,Cadie Bandy,cadieb@wasteconnections.com
101572,"Recycling and Resource Recovery Systems, LLC",,Collector,Active,2/6/2015,3110 Busch Rd ,Pleasanton,CA,94566,Alameda,P.O. Box 399 ,Pleasanton,CA,94566,(925) 846-4062,Maria Salinas,marias@pleasantongarbageservice.com
127706,"Mrs. Nelson's Book Company, LLC",,Collector,Active,9/8/2023,1650 W. Orange Grove Ave ,Pomona,CA,91768,Los Angeles,1650 W. Orange Grove Ave ,Pomona,CA,91768,(909) 397-7820,Gary Chatmajian,gchatmajian@mrsnelsons.com
100833,"PSC Environmental Services of Pomona, LP",,Collector,Active,1/1/2005,2490 Pomona Blvd ,Pomona,CA,91768,Los Angeles,2490 Pomona Blvd ,Pomona,CA,91768,(909) 598-4449,Victor Martinez,vmmartinez@cleanearthinc.com
104154,"Hazmat TSDF, Inc.",,Collector,Active,3/20/2006,180 W. Monte Ave ,Rialto,CA,92316,San Bernardino,P.O. Box 449 ,Colton,CA,92324,(909) 873-4141,Wade Riddering,wriddering@usahazmat.com
127225,"Ecycle Pros, Inc.",,Collector,Active,1/3/2020,984 Dexter Way ,Ripon,CA,95366,San Joaquin,984 Dexter Way ,Ripon,CA,95366,(209) 924-4385,Nathaniel Doffing,nd@ecycleprosinc.com
103211,"Agua Mansa MRF, LLC",,Collector,Active,9/28/2005,1830 Agua Mansa Rd ,Riverside,CA,92509,Riverside,1830 Agua Mansa Rd ,Riverside,CA,92509,(951) 786-0544,Nick Burciaga,nburciaga@burrtec.com
115124,Electronics Recycling Angel,"(a DBA of A&G Electronics, Inc.)",Collector,Active,5/16/2013,12155 Magnolia Ave Suite 4H,Riverside,CA,92503,Riverside,12155 Magnolia Ave Suite 4H,Riverside,CA,92503,(951) 729-5928,Gabriela Atwater,info@angelectronics.org
113394,"Kay-Met Recycling, LLC",,Collector,Active,8/11/2011,19014 San Jose Ave ,Rowland Heights,CA,91748,Los Angeles,19014 San Jose Ave ,Rowland Heights,CA,91748,(626) 913-9964,Neil Kay,neil@kay-met.com
116424,E-Waste Gurus,,Collector,Active,2/26/2016,201 Harris Ave #10,Sacramento,CA,95838,Sacramento,201 Harris Ave #10,Sacramento,CA,95838,(916) 258-5835,Sergey Marchuk,recycle@ewastegurus.com
112187,Florin Perkins Public Disposal Site,"(a DBA of Zanker Road Resource Management, LLC)",Collector,Active,7/26/2010,4201 Florin Perkins Rd ,Sacramento,CA,95826,Sacramento,4201 Florin Perkins Rd ,Sacramento,CA,95826,(916) 443-5120,Abel Pereira,abel.pereira@greenwaste.com
104702,Goodwill Industries of Sacramento Valley and Northern Nevada,,Collector,Active,7/30/2015,6648 Franklin Blvd ,Sacramento,CA,95823-1005,Sacramento,8001 Folsom Blvd ,Sacramento,CA,95826,(916) 395-9000,Sabrina Bucher,sabrinab@goodwillsacto.org
127822,One World Recycling,(a DBA of One World Recycling LLC),Collector,Active,5/24/2024,1800 Diesel Dr Ste 30,Sacramento,CA,95838,Sacramento,1800 Diesel Dr Ste 30,Sacramento,CA,95838,(916) 927-2115,Robert Monroy,rob@oneworldrecycling.com
116549,"Professional Logistic Services, Inc.",,Collector,Active,7/14/2016,901 N B St ,Sacramento,CA,95811,Sacramento,901 N B St ,Sacramento,CA,95811,(916) 442-2107,Melissa Fernandez,melissaf@plsrecycling.com
112941,Sacramento Regional Conservation Corps,,Collector,Active,10/10/2013,6100 27th St ,Sacramento,CA,95822,Sacramento,6101 27th St ,Sacramento,CA,95822,(916) 386-8394,Kala Dean,kdean@saccorps.org
110265,"Burrtec Waste Industries, Inc. (Salton City)",,Collector,Active,4/10/2009,935 West Highway 86 ,Salton City,CA,92275,Imperial,9400 Cherry Ave Building C,Fontana,CA,92335,(909) 743-6319,Robin Harger,rharger@burrtec.com
127668,"A&H IT Renew, Inc.",,Collector,Active,5/25/2023,1359 N E St ,San Bernardino,CA,92405,San Bernardino,1359 N E St ,San Bernardino,CA,92405,(909) 332-7002,Andy Vu,admin@itrenew.co
114943,East Valley Recycling & Transfer,"(a DBA of Burrtec Waste Industries, Inc.)",Collector,Active,2/11/2013,1150 S Tippecanoe Ave ,San Bernardino,CA,92408,San Bernardino,1150 S Tippecanoe Ave ,San Bernardino,CA,92408,(909) 275-7117,Joaquin Flores,jflores@burrtec.com
112804,The Salvation Army Adult Rehabilitation Center (San Bernardino),,Collector,Active,6/10/2016,363 S Doolittle Rd ,San Bernardino,CA,92408,San Bernardino,363 S Doolittle Rd ,San Bernardino,CA,92408,(909) 889-9605,Robbin Garnett,robbin.garnett@usw.salvationarmy.org
116475,Urban Conservation Corps of the Inland Empire,,Collector,Active,4/19/2016,1355 W 26th St ,San Bernardino,CA,92405,San Bernardino,1355 W 26th St ,San Bernardino,CA,92405,(909) 890-0400,Wayne McILroy,wmcilroy@mountainsfoundation.org
127745,"South Bayside Industries, Inc.",,Collector,Active,11/22/2023,333 Shoreway Rd ,San Carlos,CA,94070,San Mateo,333 Shoreway Rd ,San Carlos,CA,94070,(650) 802-8355,Jennifer Chelone,jchelone@southbaysideindustries.com
103302,"City of San Diego, Environmental Services Department",,Collector,Active,8/19/2005,5180 Convoy St ,San Diego,CA,92111,San Diego,9601 Ridgehaven Ct Suite 310,San Diego,CA,92123,(858) 573-1415,George Katsikaris,GKatsikaris@sandiego.gov
127772,Dream E Waste,(a DBA of EVOKE ZERO INC),Collector,Active,2/23/2024,4009 Hicock St Ste D,San Diego,CA,92110,San Diego,4009 Hicock St Ste D,San Diego,CA,92110,(619) 889-1305,Jihad Hafidh,dreamewaste@gmail.com
127683,EnviroGreen Electronic Recycling,,Collector,Active,7/28/2023,8440 Production Ave ,San Diego,CA,92121,San Diego,8440 Production Ave ,San Diego,CA,92121,(858) 800-1271,Louise M Batchelor,louise@sandiegorecycles.com
100569,Goodwill Industries of San Diego County,,Collector,Active,1/1/2005,3663 Rosecrans St ,San Diego,CA,92110,San Diego,3663 Rosecrans St ,San Diego,CA,92110,(619) 225-2200,Scott Fyson,sfyson@sdgoodwill.org
127834,Raccoon Rubbish Removal LLC,Raccoon Rubbish Removal LLC,Collector,Active,5/31/2024,6259 Progressive Ave ,San Diego,CA,92154,San Diego,1722 Elm Ave ,San Diego,CA,92154,(619) 713-3146,Benjamin Herrera,bmh946@gmail.com
116118,SES / Secure E-Waste Solutions,,Collector/Recycler,Active,2/27/2015,8830 Rehco Rd Ste B,San Diego,CA,92121,San Diego,8810 Rehco Rd Ste C,San Diego,CA,92121,(858) 909-0802,Larry Kurschner,larry@sesrecycling.com
116487,Ssubi Foundation,,Collector,Active,10/29/2021,7955 Dunbrook Road Suite H,San Diego,CA,92126,San Diego,2307 Fenton Parkway #107135,San Diego,CA,92108,(858) 207-7047,Laura Luxemburg,ljluxemburg@gmail.com
127124,"Update Green, Inc.",,Collector,Active,4/16/2019,7887 Dunbrook Rd Suite C,San Diego,CA,92126,San Diego,7887 Dunbrook Rd Suite C,San Diego,CA,92126,(858) 437-9737,Amirali Ghods,info@updategreen.com
103552,Urban Corps of San Diego County,,Collector,Active,5/28/2015,3021 Moore St ,San Diego,CA,92110,San Diego,P.O. Box 80156 ,San Diego,CA,92138,(619) 235-6884,Yolanda Maeder,yolanda.maeder@urbancorps.org
115795,Heroes Deserve Help,,Collector,Active,11/6/2020,446 W Arrow Hwy Ste 24,San Dimas,CA,91773,Los Angeles,446 W Arrow Hwy Ste 24,San Dimas,CA,91773,(909) 999-8828,Nathaniel P. Miller,nmiller@heroesdeservehelp.org
102447,Recology San Francisco,,Collector,Active,4/4/2005,501 Tunnel Ave ,San Francisco,CA,94134,San Francisco,250 Executive Park Blvd Ste 2100,San Francisco,CA,94134,(415) 330-1400,Mike Sweeney,msweeney@recology.com
107682,The Salvation Army Adult Rehabilitation Center (San Francisco),,Collector,Active,7/20/2012,1500 Valencia St ,San Francisco,CA,94110-4406,San Francisco,1500 Valencia St ,San Francisco,CA,94110-4406,(415) 643-8000,Claudia Gonzalez,claudia.gonzalez.ortega@usw.salvationarmy.org
101958,Goodwill of Silicon Valley,,Collector,Active,8/14/2015,950 N 7th St ,San Jose,CA,95112,Santa Clara,1080 N 7th St ,San Jose,CA,95112,(408) 998-5774,Travis Diaz,travisd@goodwillsv.org
103277,"GreenWaste Recovery, LLC",,Collector,Active,9/9/2005,625 Charles St ,San Jose,CA,95112,Santa Clara,610 E. Gish Rd ,San Jose,CA,95112,(408) 283-4800,William Lineberry,william.lineberry@greenwaste.com
116689,Leo Recycle,"(a DBA of ATT Recycle, Inc.)",Collector,Active,8/16/2024,215 Leo Ave ,San Jose,CA,95112,Santa Clara,215 Leo Ave ,San Jose,CA,95112,(408) 780-5557,Nikki Ngo,bookkeeper@attrecycleinc.com
107363,Salvation Army ARC San Jose,,Collector,Active,5/3/2008,702 W Taylor St ,San Jose,CA,95126,Santa Clara,702 W Taylor St ,San Jose,CA,95126,(408) 298-7600,Maria Fanene,maria.fanene@usw.salvationarmy.org
103483,San Jose Conservation Corps,,Collector,Active,7/10/2015,1560 Berger Dr ,San Jose,CA,95112,Santa Clara,1560 Berger Dr ,San Jose,CA,95112,(408) 283-7171,Mary Le,mle@sjcccs.org
127959,Valley Recycling,"(a DBA of Environmental Resource Recovery, Inc.)",Collector,Active,9/19/2025,1611 S 7th St ,San Jose,CA,95112,Santa Clara,1611 S 7th St ,San Jose,CA,95112,(408) 297-5404,Eldrich Evaristo,eldriche@valleyservices.biz
101663,"Alameda County Industries, Inc.",,Collector,Active,1/24/2005,601 Aladdin Ave ,San Leandro,CA,94577,Alameda,610 Aladdin Ave ,San Leandro,CA,94577,(510) 357-7282,Sarah Trousdale,strousdale@alamedacountyindustries.com
101548,"EDCO Waste & Recycling Services, Inc.",,Collector,Active,2/1/2005,224 S Las Posas Rd ,San Marcos,CA,92078,San Diego,224 S Las Posas Rd ,San Marcos,CA,92078,(760) 744-2700,Robert Hill,rhill@edcodisposal.com
127439,Veterans Green Projects,,Collector,Active,10/29/2021,826 Rancheros Dr ,San Marcos,CA,92069,San Diego,826 Rancheros Dr ,San Marcos,CA,92069,(760) 798-0544,Bill Kraus,bill@veteransgreenprojects.org
115773,Veterans Green Projects Initiative Foundation,,Collector,Active,10/18/2024,826 Rancheros Dr ,San Marcos,CA,92069,San Diego,10890 Poblado Rd Apt 1221,San Diego,CA,92127,(760) 798-0544,Sergio Santoro,s.santoro@veteransgreenprojects.org
100888,"Renew Computers, Inc.",,Collector,Active,1/1/2005,446 Du Bois St ,San Rafael,CA,94901,Marin,446 Du Bois St ,San Rafael,CA,94901,(415) 457-8801,Michael Reynolds,michael@renewcomputers.com
116855,"Elian Electronics Recycling, Inc.",,Collector,Active,8/28/2023,1634 W 19th St ,Santa Ana,CA,92706,Orange,1634 W 19th St ,Santa Ana,CA,92706,(714) 494-3242,Saif Elian,saif@elianer-us.com
